journal,quartile
Applied Mechanics Reviews,1
ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS,1
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,1
Art & Perception,1
ART BULLETIN,1
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,1
Arthritis & Rheumatology,1
Artificial Intelligence in Agriculture,1
ARTIFICIAL INTELLIGENCE REVIEW,1
Asian Journal of Pharmaceutical Sciences,1
Assessing Writing,1
ASTRONOMY AND ASTROPHYSICS REVIEW,1
Astrophysical Journal Letters,1
ATMOSPHERIC CHEMISTRY AND PHYSICS,1
AUSTRALASIAN JOURNAL OF PHILOSOPHY,1
AUTISM,1
Autism in Adulthood,1
AUTOIMMUNITY REVIEWS,1
AUTOMATION IN CONSTRUCTION,1
Autophagy,1
Avian Research,1
BASIC RESEARCH IN CARDIOLOGY,1
Bayesian Analysis,1
BEHAVIORAL AND BRAIN SCIENCES,1
BEHAVIOUR RESEARCH AND THERAPY,1
Big Data & Society,1
Big Data Mining and Analytics,1
Big Earth Data,1
Bio-Design and Manufacturing,1
Bioactive Materials,1
Biochar,1
Biofuel Research Journal-BRJ,1
BIOLOGICAL CONSERVATION,1
Biological Psychiatry,1
BIOLOGICAL REVIEWS,1
BIOMACROMOLECULES,1
BIOMATERIALS,1
BIOMETRIKA,1
BIORESOURCE TECHNOLOGY,1
BIOSCIENCE,1
BIOSENSORS & BIOELECTRONICS,1
BIOTECHNOLOGY ADVANCES,1
BLOOD,1
Blood Advances,1
Blood Cancer Discovery,1
Blood Cancer Journal,1
BMC Medical Ethics,1
BMC Medicine,1
BMJ Global Health,1
BMJ Medicine,1
BMJ Mental Health,1
BMJ Quality & Safety,1
BMJ-British Medical Journal,1
Body Image,1
Bone & Joint Journal,1
Bone & Joint Research,1
Bone Research,1
Bottom Line,1
BRAIN,1
BRAIN BEHAVIOR AND IMMUNITY,1
Brain Stimulation,1
British Journal for the History of Philosophy,1
BRITISH JOURNAL FOR THE HISTORY OF SCIENCE,1
BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE,1
BRITISH JOURNAL OF AESTHETICS,1
BRITISH JOURNAL OF ANAESTHESIA,1
BRITISH JOURNAL OF DERMATOLOGY,1
BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,1
BRITISH JOURNAL OF POLITICAL SCIENCE,1
BRITISH JOURNAL OF PSYCHIATRY,1
BRITISH JOURNAL OF SOCIAL PSYCHOLOGY,1
BRITISH JOURNAL OF SOCIOLOGY,1
BRITISH JOURNAL OF SPORTS MEDICINE,1
British Journal of Surgery,1
BUILDING AND ENVIRONMENT,1
Building Simulation,1
Bulletin of the History of Archaeology,1
Bulletin of the Peabody Museum of Natural History,1
BUSINESS ETHICS QUARTERLY,1
Business Strategy and the Environment,1
CA-A CANCER JOURNAL FOR CLINICIANS,1
CAAI Transactions on Intelligence Technology,1
CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,1
CAMBRIDGE ARCHAEOLOGICAL JOURNAL,1
Cambridge Journal of Mathematics,1
Cambridge Journal of Regions Economy and Society,1
CANADIAN JOURNAL OF PHILOSOPHY,1
CANADIAN MEDICAL ASSOCIATION JOURNAL,1
CANCER,1
CANCER CELL,1
Cancer Communications,1
Cancer Discovery,1
Cancer Immunology Research,1
CANCER LETTERS,1
CANCER RESEARCH,1
CANCER TREATMENT REVIEWS,1
Carbohydrate Polymers,1
Carbon Energy,1
Cardiovascular Diabetology,1
CARDIOVASCULAR RESEARCH,1
CATENA,1
CCS Chemistry,1
CELL,1
Cell Chemical Biology,1
Cell Death & Disease,1
CELL DEATH AND DIFFERENTIATION,1
Cell Discovery,1
Cell Genomics,1
Cell Host & Microbe,1
Cell Metabolism,1
CELL PROLIFERATION,1
Cell Reports,1
Cell Reports Medicine,1
CELL RESEARCH,1
Cell Stem Cell,1
Cell Systems,1
CELLULAR & MOLECULAR BIOLOGY LETTERS,1
Cellular & Molecular Immunology,1
Cellular and Molecular Gastroenterology and Hepatology,1
CEMENT & CONCRETE COMPOSITES,1
CEMENT AND CONCRETE RESEARCH,1
CHAOS SOLITONS & FRACTALS,1
Chem,1
Chem Catalysis,1
Chemical Engineering Journal,1
CHEMICAL REVIEWS,1
Chemical Science,1
CHEMICAL SOCIETY REVIEWS,1
CHEST,1
CHILD DEVELOPMENT,1
Child Development Perspectives,1
China Finance Review International,1
CHINESE CHEMICAL LETTERS,1
Chinese Journal of Aeronautics,1
Chinese Journal of Catalysis,1
CHINESE JOURNAL OF CHEMISTRY,1
Chinese Journal of International Politics,1
CHINESE PHYSICS LETTERS,1
Chinese Political Science Review,1
Chinese Science Bulletin-Chinese,1
CIRCULATION,1
CIRCULATION RESEARCH,1
Circulation-Arrhythmia and Electrophysiology,1
Circulation-Cardiovascular Imaging,1
Circulation-Cardiovascular Interventions,1
Circulation-Cardiovascular Quality and Outcomes,1
Circulation-Heart Failure,1
CITIES,1
CLADISTICS,1
CLASSICAL ANTIQUITY,1
Climate Risk Management,1
Clinical and Molecular Hepatology,1
CLINICAL CANCER RESEARCH,1
CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW,1
Clinical Gastroenterology and Hepatology,1
Clinical Journal of the American Society of Nephrology,1
CLINICAL MICROBIOLOGY REVIEWS,1
CLINICAL NUTRITION,1
CLINICAL ORAL IMPLANTS RESEARCH,1
CLINICAL PSYCHOLOGY REVIEW,1
CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY,1
Cliometrica,1
CNS DRUGS,1
CoDesign-International Journal of CoCreation in Design and the Arts,1
COGNITIVE LINGUISTICS,1
COGNITIVE PSYCHOLOGY,1
Cold Spring Harbor Perspectives in Biology,1
COLUMBIA LAW REVIEW,1
Combustion and Flame,1
COMMENTARII MATHEMATICI HELVETICI,1
Communication & Sport,1
Communication Methods and Measures,1
COMMUNICATION RESEARCH,1
COMMUNICATION THEORY,1
Communications Biology,1
Communications Chemistry,1
Communications Earth & Environment,1
Communications in Transportation Research,1
COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,1
Communications Physics,1
COMPARATIVE EDUCATION,1
Comparative Migration Studies,1
COMPARATIVE POLITICAL STUDIES,1
COMPARATIVE STUDIES IN SOCIETY AND HISTORY,1
COMPOSITES PART B-ENGINEERING,1
COMPOSITIO MATHEMATICA,1
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,1
Computer Assisted Language Learning,1
COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,1
Computer Science Review,1
COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,1
COMPUTERS & EDUCATION,1
COMPUTERS AND ELECTRONICS IN AGRICULTURE,1
COMPUTERS AND GEOTECHNICS,1
COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,1
COMPUTERS IN HUMAN BEHAVIOR,1
COMPUTERS IN INDUSTRY,1
CONSERVATION BIOLOGY,1
Conservation Letters,1
Construction and Building Materials,1
CONTACT DERMATITIS,1
CONTEMPORARY EDUCATIONAL PSYCHOLOGY,1
Contemporary European History,1
Contemporary Security Policy,1
COORDINATION CHEMISTRY REVIEWS,1
CORROSION SCIENCE,1
CRIMINOLOGY,1
Criminology & Public Policy,1
CRITICAL CARE,1
CRITICAL CARE MEDICINE,1
Critical Perspectives on Accounting,1
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,1
Crop Journal,1
CULTURAL ANTHROPOLOGY,1
CURRENT BIOLOGY,1
Current Climate Change Reports,1
CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE,1
Current Forestry Reports,1
Current Issues in Language Planning,1
Current Obesity Reports,1
Current Opinion in Environmental Sustainability,1
Current Opinion in Food Science,1
Current Opinion in Insect Science,1
Current Research in Food Science,1
Cyborg and Bionic Systems,1
DANCE RESEARCH JOURNAL,1
Data Science and Engineering,1
Dead Sea Discoveries,1
Defence Technology,1
Democratization,1
DEMOGRAPHY,1
DENTAL MATERIALS,1
Design Studies,1
DEVELOPMENTAL CELL,1
DEVELOPMENTAL REVIEW,1
DEVELOPMENTAL SCIENCE,1
DIABETES CARE,1
DIABETOLOGIA,1
Dialogues in Human Geography,1
Digital Journalism,1
DISCOURSE & SOCIETY,1
Discourse Context & Media,1
DIVERSITY AND DISTRIBUTIONS,1
DRUG RESISTANCE UPDATES,1
DRUGS,1
DUKE MATHEMATICAL JOURNAL,1
EARLY CHILDHOOD RESEARCH QUARTERLY,1
Early Medieval Europe,1
EARLY MUSIC,1
EARTH AND PLANETARY SCIENCE LETTERS,1
Earth System Governance,1
Earth System Science Data,1
EARTH-SCIENCE REVIEWS,1
Earths Future,1
EBioMedicine,1
EClinicalMedicine,1
ECOGRAPHY,1
Ecological Indicators,1
ECOLOGY LETTERS,1
ECONOMETRICA,1
ECONOMIC GEOGRAPHY,1
ECONOMIC GEOLOGY,1
ECONOMIC HISTORY REVIEW,1
EDUCATIONAL PSYCHOLOGIST,1
EDUCATIONAL PSYCHOLOGY REVIEW,1
Educational Research Review,1
Educational Researcher,1
Electrochemical Energy Reviews,1
eLife,1
eLight,1
EMBO JOURNAL,1
EMBO Molecular Medicine,1
EMBO REPORTS,1
Emerging Microbes & Infections,1
ENDOCRINE PATHOLOGY,1
ENDOCRINE REVIEWS,1
Endoscopic Ultrasound,1
ENDOSCOPY,1
Energy,1
Energy & Environmental Materials,1
Energy & Environmental Science,1
ENERGY CONVERSION AND MANAGEMENT,1
Energy Economics,1
Energy Material Advances,1
Energy Storage Materials,1
EnergyChem,1
Engineered Science,1
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,1
Engineering Applications of Computational Fluid Mechanics,1
ENGINEERING GEOLOGY,1
ENGINEERING STRUCTURES,1
ENGLISH FOR SPECIFIC PURPOSES,1
ENTOMOLOGIA GENERALIS,1
Environment and Planning A-Economy and Space,1
ENVIRONMENT AND PLANNING D-SOCIETY & SPACE,1
ENVIRONMENT INTERNATIONAL,1
Environmental Chemistry and Ecotoxicology,1
ENVIRONMENTAL HEALTH PERSPECTIVES,1
Environmental Impact Assessment Review,1
ENVIRONMENTAL POLITICS,1
ENVIRONMENTAL SCIENCE & TECHNOLOGY,1
Environmental Science and Ecotechnology,1
ENVIRONMENTAL VALUES,1
EPILEPSIA,1
Episteme-A Journal of Individual and Social Epistemology,1
eScience,1
ESMO Open,1
Estetika-The European Journal of Aesthetics,1
ETHICS,1
Ethnoarchaeology,1
eTransportation,1
EuroIntervention,1
EUROPACE,1
EUROPEAN HEART JOURNAL,1
European Heart Journal-Cardiovascular Imaging,1
EUROPEAN JOURNAL OF AGRONOMY,1
EUROPEAN JOURNAL OF CANCER,1
EUROPEAN JOURNAL OF HEART FAILURE,1
EUROPEAN JOURNAL OF INTERNATIONAL RELATIONS,1
European Journal of International Security,1
EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,1
EUROPEAN JOURNAL OF PERSONALITY,1
EUROPEAN JOURNAL OF POLITICAL RESEARCH,1
European Journal of Preventive Cardiology,1
European Journal of Psychology Applied to Legal Context,1
EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY,1
European Physical Education Review,1
European Political Science Review,1
EUROPEAN RESPIRATORY JOURNAL,1
European Respiratory Review,1
European Review of Social Psychology,1
European Security,1
EUROPEAN SOCIOLOGICAL REVIEW,1
EUROPEAN UNION POLITICS,1
EUROPEAN UROLOGY,1
European Urology Oncology,1
EVOLUTION AND HUMAN BEHAVIOR,1
Evolution Letters,1
EVOLUTIONARY ANTHROPOLOGY,1
Experimental and Computational Multiphase Flow,1
EXPERIMENTAL AND MOLECULAR MEDICINE,1
EXPERT SYSTEMS WITH APPLICATIONS,1
EXPLORATIONS IN ECONOMIC HISTORY,1
Facta Universitatis-Series Mechanical Engineering,1
FEMS MICROBIOLOGY REVIEWS,1
FERTILITY AND STERILITY,1
FIELD CROPS RESEARCH,1
Film-Philosophy,1
Financial Innovation,1
FISH AND FISHERIES,1
Food Chemistry,1
Food Chemistry-X,1
FOOD CONTROL,1
Food Frontiers,1
FOOD HYDROCOLLOIDS,1
FOOD MICROBIOLOGY,1
Food Packaging and Shelf Life,1
FOOD POLICY,1
Food Quality and Preference,1
FOOD RESEARCH INTERNATIONAL,1
Food Science and Human Wellness,1
Forest Ecosystems,1
Forest Policy and Economics,1
Forum of Mathematics Pi,1
Foundations and Trends in Information Retrieval,1
Foundations and Trends in Machine Learning,1
Foundations and Trends in Systems and Control,1
FOUNDATIONS OF COMPUTATIONAL MATHEMATICS,1
Friction,1
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,1
Frontiers of Architectural Research,1
Frontiers of Engineering Management,1
Fudan Journal of the Humanities and Social Sciences,1
FUNCTIONAL ECOLOGY,1
FUNGAL DIVERSITY,1
FUZZY SETS AND SYSTEMS,1
Gastroenterology,1
GASTROINTESTINAL ENDOSCOPY,1
GENDER & SOCIETY,1
GENDER WORK AND ORGANIZATION,1
GENES & DEVELOPMENT,1
GENETICS IN MEDICINE,1
GENETICS SELECTION EVOLUTION,1
GENOME BIOLOGY,1
Genome Medicine,1
GENOME RESEARCH,1
GEOCHIMICA ET COSMOCHIMICA ACTA,1
Geoderma,1
Geography and Sustainability,1
GEOLOGICAL SOCIETY OF AMERICA BULLETIN,1
GEOLOGY,1
GEOMETRIC AND FUNCTIONAL ANALYSIS,1
GEOMETRY & TOPOLOGY,1
Geopolitics,1
Geoscience Frontiers,1
GESTA-INTERNATIONAL CENTER OF MEDIEVAL ART,1
GIScience & Remote Sensing,1
GLOBAL AND PLANETARY CHANGE,1
GLOBAL BIOGEOCHEMICAL CYCLES,1
GLOBAL CHANGE BIOLOGY,1
GLOBAL ECOLOGY AND BIOGEOGRAPHY,1
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,1
Global Food Security-Agriculture Policy Economics and Environment,1
Global Media and China,1
Gondwana Research,1
GOVERNMENT AND OPPOSITION,1
GOVERNMENT INFORMATION QUARTERLY,1
GPS SOLUTIONS,1
GREEN CHEMISTRY,1
Green Energy & Environment,1
Green Synthesis and Catalysis,1
GUT,1
Gut Microbes,1
HABITAT INTERNATIONAL,1
HAEMATOLOGICA,1
Hague Journal on the Rule of Law,1
HEALTH AFFAIRS,1
HEART RHYTHM,1
Hepatobiliary Surgery and Nutrition,1
HEPATOLOGY,1
Hepatology International,1
HESPERIA,1
High Power Laser Science and Engineering,1
HIGHER EDUCATION,1
HISTORICAL JOURNAL,1
HISTORICAL METHODS,1
HISTORY OF SCIENCE,1
Horticultural Plant Journal,1
Horticulture Research,1
HUMAN COMMUNICATION RESEARCH,1
HUMAN DEVELOPMENT,1
HUMAN REPRODUCTION,1
HUMAN REPRODUCTION UPDATE,1
HUMAN RESOURCE MANAGEMENT REVIEW,1
HUSSERL STUDIES,1
HYDROLOGY AND EARTH SYSTEM SCIENCES,1
HYPERTENSION,1
Ibsen Studies,1
IEEE Communications Surveys and Tutorials,1
IEEE Geoscience and Remote Sensing Magazine,1
IEEE JOURNAL OF SOLID-STATE CIRCUITS,1
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,1
IEEE Reviews in Biomedical Engineering,1
IEEE Transactions on Affective Computing,1
IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION,1
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY,1
IEEE Transactions on Cognitive Communications and Networking,1
IEEE Transactions on Cybernetics,1
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,1
IEEE TRANSACTIONS ON FUZZY SYSTEMS,1
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,1
IEEE TRANSACTIONS ON IMAGE PROCESSING,1
IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,1
IEEE Transactions on Industrial Informatics,1
IEEE Transactions on Information Forensics and Security,1
IEEE Transactions on Intelligent Vehicles,1
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,1
IEEE TRANSACTIONS ON MEDICAL IMAGING,1
IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES,1
IEEE TRANSACTIONS ON MOBILE COMPUTING,1
IEEE TRANSACTIONS ON MULTIMEDIA,1
IEEE Transactions on Neural Networks and Learning Systems,1
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,1
IEEE TRANSACTIONS ON POWER ELECTRONICS,1
IEEE TRANSACTIONS ON POWER SYSTEMS,1
IEEE Transactions on Robotics,1
IEEE Transactions on Smart Grid,1
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,1
IEEE Transactions on Sustainable Energy,1
IEEE Transactions on Systems Man Cybernetics-Systems,1
IEEE Transactions on Transportation Electrification,1
IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,1
IEEE-ASME TRANSACTIONS ON MECHATRONICS,1
IEEE-CAA Journal of Automatica Sinica,1
IMA Fungus,1
iMeta,1
Immunity,1
Implementation Science,1
INDUSTRIAL CROPS AND PRODUCTS,1
Infectious Disease Modelling,1
Infectious Diseases of Poverty,1
InfoMat,1
Information Communication & Society,1
Information Fusion,1
INFORMATION PROCESSING & MANAGEMENT,1
Information Processing in Agriculture,1
Innovation,1
Innovative Food Science & Emerging Technologies,1
INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY,1
Insect Science,1
Insect Systematics and Diversity,1
Integrative Zoology,1
INTENSIVE CARE MEDICINE,1
Intercultural Pragmatics,1
Interdisciplinary Materials,1
INTERNATIONAL AFFAIRS,1
INTERNATIONAL ENDODONTIC JOURNAL,1
International Journal of Applied Earth Observation and Geoinformation,1
International Journal of Behavioral Nutrition and Physical Activity,1
International Journal of Biological Sciences,1
International Journal of Coal Science & Technology,1
International Journal of Community Music,1
International Journal of Computer-Supported Collaborative Learning,1
International Journal of Contemporary Hospitality Management,1
International Journal of Educational Technology in Higher Education,1
International Journal of Extreme Manufacturing,1
INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,1
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,1
International Journal of Heritage Studies,1
International Journal of Hospitality Management,1
International Journal of Hydromechatronics,1
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,1
International Journal of Legal Discourse,1
INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,1
International Journal of Management Education,1
INTERNATIONAL JOURNAL OF MECHANICAL SCIENCES,1
International Journal of Mining Science and Technology,1
International Journal of Multilingualism,1
International Journal of Neural Systems,1
International Journal of Nursing Sciences,1
INTERNATIONAL JOURNAL OF NURSING STUDIES,1
International Journal of Oral Science,1
INTERNATIONAL JOURNAL OF PLASTICITY,1
International Journal of Press-Politics,1
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,1
INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT,1
INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS,1
INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES,1
International Journal of STEM Education,1
INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH,1
INTERNATIONAL MATERIALS REVIEWS,1
INTERNATIONAL ORGANIZATION,1
International Political Sociology,1
International Review of Sport and Exercise Psychology,1
INTERNATIONAL SECURITY,1
International Soil and Water Conservation Research,1
INTERNATIONAL STUDIES QUARTERLY,1
International Studies Review,1
Internet and Higher Education,1
Interpreter and Translator Trainer,1
Interpreting,1
INVENTIONES MATHEMATICAE,1
INVESTIGATIVE RADIOLOGY,1
ISME Journal,1
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,1
JACC-Basic to Translational Science,1
JACC-Cardiovascular Imaging,1
JACC-Cardiovascular Interventions,1
JACC-Clinical Electrophysiology,1
JACC-Heart Failure,1
JACC: CardioOncology,1
JACS Au,1
JAMA Cardiology,1
JAMA Dermatology,1
JAMA Health Forum,1
JAMA Internal Medicine,1
JAMA Network Open,1
JAMA Neurology,1
JAMA Oncology,1
JAMA Ophthalmology,1
JAMA Otolaryngology-Head & Neck Surgery,1
JAMA Pediatrics,1
JAMA Psychiatry,1
JAMA Surgery,1
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,1
JCI Insight,1
JCMS-Journal of Common Market Studies,1
JHEP Reports,1
JNCI-Journal of the National Cancer Institute,1
Joule,1
JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES,1
Journal for ImmunoTherapy of Cancer,1
JOURNAL FOR THE SCIENTIFIC STUDY OF RELIGION,1
Journal for the Study of Judaism,1
JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK,1
JOURNAL OF ACCOUNTING & ECONOMICS,1
JOURNAL OF ACCOUNTING RESEARCH,1
Journal of Advanced Ceramics,1
Journal of Advanced Research,1
Journal of Aesthetics & Culture,1
JOURNAL OF AESTHETICS AND ART CRITICISM,1
JOURNAL OF AFRICAN HISTORY,1
JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,1
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,1
Journal of Allergy and Clinical Immunology-In Practice,1
Journal of Analysis and Testing,1
Journal of Animal Science and Biotechnology,1
JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY,1
JOURNAL OF APPLIED BEHAVIOR ANALYSIS,1
